y,x1,x2
451583,-221808,673391
-589315,-114148,-475167
478978,751918,-272940
56598,-345609,402207
-779994,-195944,-584050
1033059,685009,348050
-533675,-249882,-283793
344500,397855,-53355
-247128,177106,-424234
341269,-154771,496040
-200504,-821670,621166
1008557,875014,133543
-822365,-286021,-536344
-276301,141842,-418143
965101,54996,910105
-414353,-104724,-309629
1001113,127226,873887
1049596,924540,125056
-1004323,-120196,-884127
-204686,609677,-814363
703264,884719,-181455
710225,965220,-254995
1393581,550506,843075
-1180007,-566314,-613693
-321458,-37473,-283985
763918,722121,41797
-241773,-610513,368740
-240031,-912191,672160
770519,367510,403009
-1227495,-796993,-430502
530393,409331,121062
-642201,-251265,-390936
-1264866,-654288,-610578
499415,-144884,644299
528904,874497,-345593
323207,690230,-367023
259313,48962,210351
433284,346157,87127
-236078,-372094,136016
1635264,952543,682721
-857805,-926478,68673
-1054426,-988620,-65806
-314535,405405,-719940
84725,995971,-911246
-150605,-609198,458593
539497,575688,-36191
-1009124,-705555,-303569
-543711,-698739,155028
-436796,561727,-998523
1233822,758151,475671
259821,994954,-735133
-326581,-855051,528470
-371070,-83315,-287755
-1206561,-645330,-561231
-156144,-774751,618607
712216,705361,6855
82936,570873,-487937
783901,940563,-156662
452303,-272039,724342
-201425,-691363,489938
460882,646395,-185513
122272,843973,-721701
-791902,-629880,-162022
-572288,39357,-611645
713166,-129867,843033
-925490,-685277,-240213
880786,411566,469220
-613939,-88611,-525328
323757,-332981,656738
344751,265203,79548
67402,-640486,707888
-123984,-519238,395254
-1180511,-406799,-773712
-761279,-963402,202123
708874,853554,-144680
-270753,625274,-896027
-1820554,-855890,-964664
1815527,831697,983830
516342,-285083,801425
1006348,955196,51152
-1058640,-158119,-900521
-1425374,-628581,-796793
216467,451399,-234932
-587750,-379408,-208342
981537,12939,968598
155498,23754,131744
99055,-589141,688196
600163,434370,165793
18493,-581829,600322
-12373,60213,-72586
619847,463086,156761
-694011,-165251,-528760
9098,-925396,934494
335461,-634457,969918
-645330,303083,-948413
-301009,406073,-707082
574100,-80214,654314
-985169,-297817,-687352
-789945,-955289,165344
-801762,-471261,-330501
-361789,-158244,-203545
155741,70950,84791
-483953,493694,-977647
506568,95337,411231
-451832,-983849,532017
240346,890270,-649924
-156225,13176,-169401
-20318,515865,-536183
-427520,-700313,272793
60950,143524,-82574
-483659,376152,-859811
-488347,494517,-982864
-409106,-691918,282812
461181,-349702,810883
224419,160173,64246
-1274773,-898440,-376333
-1032352,-150752,-881600
310850,146088,164762
389543,879603,-490060
16815,682258,-665443
581538,-175383,756921
585146,-99822,684968
-801887,-344494,-457393
431290,771339,-340049
-709138,-400820,-308318
450981,-174895,625876
228211,-746749,974960
755067,78699,676368
721873,24466,697407
-640624,266640,-907264
296277,-399527,695804
602407,-251022,853429
-27615,466668,-494283
-829108,-294140,-534968
136329,-286538,422867
-953067,-352422,-600645
1299073,739890,559183
-118263,361262,-479525
-1042517,-805335,-237182
164009,-478046,642055
-468964,-199848,-269116
-191051,-19810,-171241
-1544202,-681397,-862805
412296,-515865,928161
-837276,-848213,10937
348743,786956,-438213
156150,-334661,490811
-517375,107818,-625193
392340,938531,-546191
-742140,-454027,-288113
-291200,-180729,-110471
-207758,-90899,-116859
-82542,591823,-674365
800531,864197,-63666
440411,950742,-510331
-345375,31780,-377155
89839,-160710,250549
1198620,930894,267726
92274,692271,-599997
-1051500,-232023,-819477
-690667,-74658,-616009
-1312213,-505423,-806790
536185,630606,-94421
122222,790248,-668026
468301,101407,366894
-707309,-60899,-646410
450806,-235957,686763
-360892,-506215,145323
-641593,-438508,-203085
-534602,-671912,137310
194888,702643,-507755
312320,-665108,977428
-886976,-241622,-645354
811601,57198,754403
-66585,-959903,893318
288449,747380,-458931
-156474,-573672,417198
-190166,687096,-877262
123889,-870409,994298
-54693,851479,-906172
-1384332,-892011,-492321
354632,988510,-633878
761365,544526,216839
-1458976,-658696,-800280
17712,170426,-152714
183335,-507128,690463
-772106,-267018,-505088
338944,864004,-525060
558456,260472,297984
-312299,-263260,-49039
-943401,-414799,-528602
1198519,528623,669896
17992,-804237,822229
-93170,-981442,888272
-165887,-702074,536187
-1055018,-158450,-896568
-1548520,-549720,-998800
366390,184390,182000
-195240,-776079,580839
273490,590505,-317015
-1148510,-152604,-995906
-356051,-579681,223630
595306,313150,282156
807400,652992,154408
755470,957557,-202087
-935395,-415815,-519580
609638,47928,561710
1685032,906853,778179
1042714,448607,594107
-1039473,-887964,-151509
1426485,812001,614484
-113857,-540334,426477
697026,345086,351940
-702578,219694,-922272
-1145043,-422095,-722948
-484945,66645,-551590
1326990,526497,800493
379400,-586596,965996
1189990,950352,239638
479548,-101032,580580
425691,-284918,710609
-1379795,-622955,-756840
-38329,-657070,618741
765210,-130737,895947
706394,930750,-224356
1707280,992766,714514
874145,863678,10467
359297,444976,-85679
-1371188,-693838,-677350
791480,-28836,820316
32662,-846729,879391
-904424,-846878,-57546
-507483,-752390,244907
1344277,965440,378837
210393,-768800,979193
871842,388783,483059
-872694,-886724,14030
1044954,867640,177314
433300,-556682,989982
-886106,-637513,-248593
-1316304,-679436,-636868
292914,-474616,767530
-880199,-100528,-779671
693364,879538,-186174
299710,822938,-523228
690389,540624,149765
-700093,-493068,-207025
244291,535140,-290849
67489,444652,-377163
1745240,786191,959049
-253287,-201302,-51985
-712872,-448451,-264421
1352581,967399,385182
1106969,892527,214442
667616,687257,-19641
397078,802083,-405005
1911538,977819,933719
364275,-301953,666228
-213115,-778840,565725
472481,489128,-16647
-1507795,-827473,-680322
-528675,-976944,448269
111459,932627,-821168
-117,466138,-466255
-13745,-276583,262838
773325,641801,131524
-1602092,-682779,-919313
766330,647994,118336
1088685,173998,914687
-223268,-770816,547548
487820,235440,252380
1141493,259096,882397
910770,319519,591251
-1491926,-817599,-674327
-427833,490900,-918733
-811118,140332,-951450
908956,991261,-82305
-833558,-226544,-607014
163402,754696,-591294
1409164,869227,539937
-407319,229140,-636459
-684878,-731841,46963
-282346,-27447,-254899
1112843,200856,911987
-395301,552783,-948084
705126,173261,531865
194009,997114,-803105
1875708,896140,979568
562351,712651,-150300
-436558,487146,-923704
505092,756360,-251268
817496,755156,62340
-790102,-826932,36830
-1086118,-173663,-912455
-1072793,-557572,-515221
-272759,-262425,-10334
-551751,128479,-680230
-1801700,-925509,-876191
131486,-769804,901290
-550309,285419,-835728
-236513,549765,-786278
-1228196,-496745,-731451
-1116446,-972837,-143609
-1200824,-827280,-373544
-757178,-892372,135194
740267,580770,159497
-469418,-545427,76009
639681,-320864,960545
-704877,-826794,121917
1473825,847092,626733
-405148,49842,-454990
242018,658615,-416597
851025,14346,836679
494381,745450,-251069
-658253,-423893,-234360
420697,208127,212570
-1015625,-250962,-764663
253298,340162,-86864
732125,302405,429720
-723430,-773671,50241
77816,3299,74517
307512,-562491,870003
-467114,-423219,-43895
894765,455325,439440
938952,355363,583589
-843170,-522008,-321162
1444801,733042,711759
-177830,-330862,153032
-394309,-852697,458388
-671696,-302357,-369339
1165475,714576,450899
-366985,-950902,583917
165925,172077,-6152
119428,-516130,635558
-991437,-773560,-217877
762840,956122,-193282
-823753,-473676,-350077
610055,581332,28723
386002,-316500,702502
-1135381,-515584,-619797
-734180,-622407,-111773
428962,732535,-303573
50631,790991,-740360
1888784,955279,933505
1513604,564046,949558
3932,-566327,570259
479307,936889,-457582
824194,-78319,902513
-1860684,-924175,-936509
936005,926029,9976
-723932,-670926,-53006
1580095,956867,623228
396333,358073,38260
849941,700267,149674
-154439,-28295,-126144
-106137,-426164,320027
-1046913,-909208,-137705
925272,518611,406661
-362565,554713,-917278
-478898,20611,-499509
-306049,-423649,117600
151429,575669,-424240
-417999,-291389,-126610
-416583,221654,-638237
1056541,961306,95235
362637,-28072,390709
211816,857311,-645495
491484,798368,-306884
248147,567311,-319164
947677,-46050,993727
-673974,-797006,123032
1497412,668149,829263
-32230,6273,-38503
-1089137,-226007,-863130
-289006,-116637,-172369
1592625,648161,944464
-975269,-634509,-340760
1084604,340297,744307
-462418,-289889,-172529
-296305,-508619,212314
557669,606334,-48665
366127,775126,-408999
-12606,-448012,435406
-818205,-216834,-601371
-1719421,-911205,-808216
-829655,-257986,-571669
764811,313656,451155
1094970,613547,481423
-635134,-893195,258061
-271243,-138169,-133074
-669114,-750006,80892
-1257541,-265320,-992221
-412733,-193046,-219687
807820,148155,659665
961337,191457,769880
1186259,250378,935881
-825860,-522983,-302877
-202441,-898624,696183
1461460,687499,773961
-397986,374164,-772150
1248377,376572,871805
-622741,-452947,-169794
466297,-205886,672183
1024632,733196,291436
1102293,562203,540090
-3257,396274,-399531
414694,339262,75432
465672,270084,195588
-880138,-149295,-730843
-1046535,-773074,-273461
1513167,686724,826443
767569,403720,363849
877196,206077,671119
224235,-249360,473595
-220942,-583849,362907
-1677277,-772571,-904706
-1252005,-296969,-955036
-217206,561859,-779065
330010,-651409,981419
-1265552,-289025,-976527
-963733,-283027,-680706
105582,668860,-563278
-703632,-857957,154325
-287399,430769,-718168
-880168,-199921,-680247
747184,356963,390221
800243,-197713,997956
-137589,-466977,329388
-1338793,-519375,-819418
-217270,564348,-781618
-1558220,-568101,-990119
-485104,-497163,12059
-1855274,-926239,-929035
-938678,-667373,-271305
-1333892,-990125,-343767
-983944,-62924,-921020
-288633,-529062,240429
866360,164457,701903
-239156,335478,-574634
-1184264,-913543,-270721
-565584,422300,-987884
-1124762,-776625,-348137
1264867,669571,595296
747138,161528,585610
-27207,-22880,-4327
-961464,-702989,-258475
-188468,107061,-295529
-389264,-682025,292761
-948569,-971224,22655
-703367,231742,-935109
179663,-49315,228978
-446772,316475,-763247
338635,-429956,768591
501555,993417,-491862
-304102,654245,-958347
-1594453,-718469,-875984
283236,-641755,924991
204058,939228,-735170
764280,-73665,837945
-1039680,-406356,-633324
78590,510000,-431410
1120660,351829,768831
-1833743,-896788,-936955
210347,-234929,445276
-475337,-955286,479949
-1671634,-801147,-870487
69360,-113660,183020
10856,14784,-3928
1509782,860906,648876
-1571724,-779376,-792348
202514,63914,138600
-283606,-486471,202865
1649765,799032,850733
227027,-286567,513594
-582163,162079,-744242
-1161726,-295557,-866169
719638,942596,-222958
-73217,240490,-313707
-173494,-244562,71068
1010838,279884,730954
1682313,932037,750276
-216012,575485,-791497
805829,723065,82764
-1304233,-656114,-648119
1018988,193132,825856
-947,-814107,813160
938957,604153,334804
-48073,-626616,578543
-608347,-502515,-105832
-1116331,-187151,-929180
-523785,-785899,262114
35712,-786346,822058
-1042200,-980745,-61455
521195,503591,17604
951465,51758,899707
-392865,-809859,416994
720535,691241,29294
342276,-440194,782470
-532130,-403728,-128402
-869465,73008,-942473
-1282369,-637447,-644922
-690485,-921466,230981
371914,998363,-626449
-219060,149748,-368808
-1104450,-775329,-329121
-1741731,-891068,-850663
308319,728503,-420184
612243,550641,61602
361135,6466,354669
-943810,-733313,-210497
-448872,519676,-968548
25420,886341,-860921
-1276086,-541381,-734705
-71028,189378,-260406
-699328,81315,-780643
1110682,992913,117769
-1099544,-824075,-275469
21858,-954806,976664
80642,389062,-308420
-1743618,-782304,-961314
-1126560,-660540,-466020
-573064,-893280,320216
1318901,712611,606290
1092486,889292,203194
-474099,289839,-763938
-979587,-772839,-206748
964011,443791,520220
-286782,131815,-418597
536072,734337,-198265
768185,-79920,848105
1823462,916769,906693
-47904,481246,-529150
-202730,741925,-944655
-136747,-558602,421855
976013,37118,938895
337058,469977,-132919
-340388,-213043,-127345
-291786,-996066,704280
167025,-610707,777732
379117,448133,-69016
1572078,931234,640844
639714,-261589,901303
818485,287073,531412
-315908,-10195,-305713
251440,970057,-718617
-448579,205007,-653586
-644538,-898317,253779
-6763,326063,-332826
-1418732,-825237,-593495
-389882,346276,-736158
488220,31416,456804
1210130,407817,802313
-257413,5962,-263375
-327990,-237560,-90430
315670,-277424,593094
1719052,939149,779903
-1143977,-224045,-919932
-1600359,-664720,-935639
-893533,-428526,-465007
-4370,87993,-92363
-155746,700457,-856203
-421349,5314,-426663
-400605,-741568,340963
-808951,-398284,-410667
-301353,-238171,-63182
627418,13694,613724
-178916,-371739,192823
-255956,201063,-457019
797035,253979,543056
-72835,809612,-882447
-374897,-800017,425120
1023072,119659,903413
1146253,424419,721834
210560,-166431,376991
-505473,463911,-969384
-481546,-865857,384311
67676,-650883,718559
-1521846,-997943,-523903
236920,199654,37266
93711,-285220,378931
-849401,-616682,-232719
562108,726325,-164217
-70851,-644592,573741
-283126,-775338,492212
1521898,652832,869066
-241219,15246,-256465
685625,-43220,728845
-1474136,-835519,-638617
-498258,271234,-769492
-1127050,-400443,-726607
-25208,879862,-905070
977351,534242,443109
-487173,215069,-702242
-779825,-474786,-305039
105903,615729,-509826
349080,979746,-630666
-545429,-787011,241582
-68631,-234838,166207
640236,595643,44593
542876,541072,1804
844137,126334,717803
-568519,128300,-696819
1492528,666302,826226
1614928,709047,905881
-784964,-846491,61527
-1662796,-916029,-746767
-49615,854055,-903670
1517778,861198,656580
-315990,515708,-831698
195725,376406,-180681
233872,-732194,966066
568795,37531,531264
-112954,-738314,625360
111146,45222,65924
553095,-87992,641087
-1393234,-804207,-589027
883939,501401,382538
-7157,-972440,965283
1222627,383954,838673
-651492,-913271,261779
656297,358353,297944
-677894,-272081,-405813
-43107,-919412,876305
282508,703758,-421250
-734934,-659368,-75566
-861077,69577,-930654
1548771,904457,644314
-227846,684341,-912187
107432,-499339,606771
528691,-112085,640776
985126,391183,593943
-275274,-437812,162538
471509,448573,22936
-1036298,-833517,-202781
472522,-392705,865227
860650,380183,480467
138358,576155,-437797
-481283,-3529,-477754
110875,770391,-659516
-243058,-966192,723134
-885769,-899117,13348
-529809,-929907,400098
-284517,294130,-578647
433783,725838,-292055
1449010,638567,810443
1722017,755986,966031
238913,563063,-324150
443330,872557,-429227
537545,-149074,686619
228916,322998,-94082
674949,362489,312460
158308,405186,-246878
-127232,703193,-830425
727020,-87805,814825
-322867,593645,-916512
-9669,652560,-662229
280425,362029,-81604
847615,996216,-148601
-359963,-496950,136987
689105,555291,133814
-326646,-613332,286686
1529300,605539,923761
-815584,-843324,27740
-754089,178449,-932538
1049765,870737,179028
-774449,-789541,15092
-947759,-561069,-386690
-942367,-531770,-410597
-1034597,-151775,-882822
-596184,-715506,119322
-16148,-777487,761339
-922894,-1552,-921342
143455,268177,-124722
-1229488,-239487,-990001
-906161,-492329,-413832
1455200,685075,770125
471942,362934,109008
-893403,-322193,-571210
984499,491407,493092
-1244886,-354033,-890853
-328710,-142524,-186186
1152110,810680,341430
483094,861508,-378414
-131774,775387,-907161
899569,275704,623865
-29941,-960973,931032
1345744,724034,621710
310938,117854,193084
-42314,-110112,67798
-148334,390407,-538741
598940,-330000,928940
-549024,232934,-781958
-802908,-459963,-342945
17989,38817,-20828
515486,541742,-26256
-219507,434298,-653805
-969872,-80850,-889022
128889,971610,-842721
738598,751025,-12427
447778,616227,-168449
-178203,499352,-677555
1215222,794571,420651
175492,188976,-13484
1164494,809544,354950
1639239,870907,768332
-216117,-559950,343833
-533766,-178430,-355336
-1464620,-741688,-722932
-1026548,-204018,-822530
-336096,207909,-544005
-930356,-139412,-790944
782522,626754,155768
1688064,987803,700261
-554973,-160654,-394319
-362930,-734190,371260
-784179,-48032,-736147
184823,-150686,335509
-1668605,-729465,-939140
746745,395141,351604
-123002,5729,-128731
-724432,-398792,-325640
-4035,-287066,283031
353582,879272,-525690
-233603,378344,-611947
-139682,573853,-713535
759841,-215911,975752
-680800,-914152,233352
801660,579579,222081
-1289566,-563213,-726353
1561,-817060,818621
1095904,645900,450004
515029,19442,495587
527742,-150049,677791
-656424,-947678,291254
72244,529232,-456988
861161,565451,295710
-46621,-306154,259533
-782514,-572748,-209766
113047,-69383,182430
-79739,-396590,316851
-181114,102919,-284033
224693,-399877,624570
1388580,413694,974886
-77240,-496813,419573
-350347,293332,-643679
1058098,471246,586852
197476,665027,-467551
-530858,-213055,-317803
-1245975,-346651,-899324
390983,494082,-103099
-1679035,-897350,-781685
484567,725457,-240890
